Category,Target Encode Value
Engine and other machine assemblers,10.606712938987345
"Entertainers and performers, sports and related workers, all other",10.57715927660038
Entertainment and recreation managers,10.9581381901821
Environmental engineers,11.314659728324312
"Environmental science and geoscience technicians, and nuclear technicians",11.078003479926606
"Environmental scientists and specialists, including health",11.179445064836958
Etchers and engravers,10.469223853748888
Executive secretaries and executive administrative assistants,11.063846416581145
Exercise trainers and group fitness instructors,10.453248736520626
"Explosives workers, ordnance handling experts, and blasters",10.53225753433112
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",10.443837223548012
Facilities managers,11.123744232655076
"Farmers, ranchers, and other agricultural managers",10.633856881965878
Fashion designers,11.105197874851898
Fast food and counter workers,10.138410408139888
Fence erectors,10.370724313496728
File clerks,10.498430511067374
Financial and investment analysts,11.470262386179828
Financial examiners,11.440132463857337
Financial managers,11.498727645554302
Fire inspectors,11.031592442279281
Firefighters,11.116412077619472
First-line enlisted military supervisors,10.98535682081876
First-line supervisors of construction trades and extraction workers,10.903103552920557
First-line supervisors of correctional officers,10.95491315777165
"First-line supervisors of farming, fishing, and forestry workers",10.55534717901877
First-line supervisors of firefighting and prevention workers,11.423317031507759
First-line supervisors of food preparation and serving workers,10.368164032691277
First-line supervisors of housekeeping and janitorial workers,10.496614081005715
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",10.571957849683647
"First-line supervisors of mechanics, installers, and repairers",11.005952508480057
First-line supervisors of non-retail sales workers,11.082795878982957
First-line supervisors of office and administrative support workers,10.873759730903108
First-line supervisors of police and detectives,11.322453389195212
First-line supervisors of production and operating workers,10.82277733527764
First-line supervisors of retail sales workers,10.831899327884573
Fish and game wardens and parking enforcement officers,10.725354062655668
Fishing and hunting workers,10.777016566064226
Flight attendants,10.728476728099398
Floral designers,10.3172373088574
"Food and tobacco roasting, baking, and drying machine operators and tenders",10.389389555302941
Food batchmakers,10.289710129625819
Food cooking machine operators and tenders,10.305765911135914
"Food preparation and serving related workers, all other",10.31236911600388
Food preparation workers,10.10263438142734
"Food processing workers, all other",10.38184894481714
"Food servers, nonrestaurant",10.302060433508787
Food service managers,10.638868364532012
Forest and conservation workers,10.241485110135274
"Forming machine setters, operators, and tenders, metal and plastic",10.56758090140644
Fundraisers,11.154969893482734
"Furnace, kiln, oven, drier, and kettle operators and tenders",10.494661004518294
Furniture finishers,10.387842740994508
Gambling services workers,10.575740525649366
General and operations managers,11.306522792603397
"Geoscientists and hydrologists, except geographers",11.69439885803744
Glaziers,10.566699074086403
"Graders and sorters, agricultural products",10.079212089293875
Graphic designers,10.94463185480085
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",10.512161127455238
"Hairdressers, hairstylists, and cosmetologists",10.230303366909917
Hazardous materials removal workers,10.556515549973005
"Healthcare diagnosing or treating practitioners, all other",11.024083433869624
Healthcare social workers,10.84308495257818
"Heating, air conditioning, and refrigeration mechanics and installers",10.665750696772442
Heavy vehicle and mobile equipment service technicians and mechanics,10.738755821358737
"Helpers, construction trades",10.301521779878362
"Helpers--installation, maintenance, and repair workers",10.307110640842627
Helpers--production workers,10.268086683665398
Highway maintenance workers,10.53409697954716
Home appliance repairers,10.719830742807465
Home health aides,10.25903808138044
"Hosts and hostesses, restaurant, lounge, and coffee shop",10.113885965294745
"Hotel, motel, and resort desk clerks",10.278359129275461
"Human resources assistants, except payroll and timekeeping",10.777274866175869
Human resources managers,11.233190441237406
Human resources workers,11.035318823971641
Industrial and refractory machinery mechanics,10.775011784785814
"Industrial engineers, including health and safety",11.35936322202155
Industrial production managers,11.34102672724564
Industrial truck and tractor operators,10.414907491689329
Information security analysts,11.530441646552047
"Inspectors, testers, sorters, samplers, and weighers",10.59607381428902
Insulation workers,10.570629511683157
Insurance claims and policy processing clerks,10.675563096311695
Insurance sales agents,10.84507894047264
Insurance underwriters,11.234324922207803
Interior designers,10.972875858847503
Interpreters and translators,10.583650108482471
"Interviewers, except eligibility and loan",10.53442471031113
Janitors and building cleaners,10.28128131457386
Jewelers and precious stone and metal workers,10.483013964467615
Judicial law clerks,10.90221440398489
"Laborers and freight, stock, and material movers, hand",10.354730393755386
Landscape architects,11.097258101055429
Landscaping and groundskeeping workers,10.288800863013666
Laundry and dry-cleaning workers,10.101742051397116
"Lawyers, and judges, magistrates, and other judicial workers",11.675365609353921
Legal secretaries and administrative assistants,10.867159498909574
"Legal support workers, all other",10.968004206620781
Librarians and media collections specialists,10.89741891255717
"Library assistants, clerical",10.305174698002174
Library technicians,10.437484675089724
Licensed practical and licensed vocational nurses,10.656834657023886
Loan interviewers and clerks,10.798255780694175
Locksmiths and safe repairers,10.600800224408344
Locomotive engineers and operators,11.267125879435381
Lodging managers,10.844432502492639
Logging workers,10.356363039308677
Logisticians,10.879701430172236
Machine feeders and offbearers,10.3185078560243
Machinists,10.756256048064657
Magnetic resonance imaging technologists,11.490416146795807
Maids and housekeeping cleaners,10.161657952882301
"Mail clerks and mail machine operators, except postal service",10.344090837046169
"Maintenance and repair workers, general",10.706157570480308
"Maintenance workers, machinery",10.714606070469044
Management analysts,11.438158904778861
Manicurists and pedicurists,10.177121562029678
Marine engineers and naval architects,11.288212254647803
Market research analysts and marketing specialists,11.307572667419201
Marketing managers,11.502017110281377
Marriage and family therapists,10.855708336882248
Massage therapists,10.28568798407264
Materials engineers,11.43466435871668
Mechanical engineers,11.419795722975833
"Media and communication workers, all other",11.110688644893745
Medical and health services managers,11.223721703667792
Medical assistants,10.40976535024227
Medical records specialists,10.748424242762264
Medical secretaries and administrative assistants,10.59164987003763
Medical transcriptionists,10.275371602241611
"Meeting, convention, and event planners",10.82076773717206
Mental health and substance abuse social workers,11.012446782813209
Mental health counselors,10.840048338423498
Merchandise displayers and window trimmers,10.75940002355422
"Metal furnace operators, tenders, pourers, and casters",10.603937542110819
"Meter readers, utilities",10.598507886198476
Military enlisted tactical operations and air/weapons specialists and crew members,10.425836826076921
Military officer special and tactical operations leaders,11.19721195544504
"Military, rank not specified",10.77543143897922
Millwrights,10.84826387737843
"Miscellaneous first-line supervisors, protective service workers",10.970040158604917
Miscellaneous health technologists and technicians,10.79757891702457
Miscellaneous plant and system operators,10.90783141468766
"Miscellaneous production workers, including equipment operators and tenders",10.492436434721153
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",10.366416237915084
"Model makers, patternmakers, and molding machine setters, metal and plastic",10.533436664443311
"Models, demonstrators, and product promoters",10.46998218566821
"Molders, shapers, and casters, except metal and plastic",10.457279227734578
"Morticians, undertakers, and funeral arrangers",10.747601643576793
"Motor vehicle operators, all other",10.413279183520176
Music directors and composers,10.705110446377377
Musicians and singers,10.679037999790584
Natural sciences managers,11.564719651706614
Network and computer systems administrators,11.275136413501158
New accounts clerks,11.144369550975295
"News analysts, reporters, and journalists",11.10256080963585
Nuclear medicine technologists and medical dosimetrists,11.725018718803032
Nurse anesthetists,11.885143817382135
"Nurse practitioners, and nurse midwives",11.489138202890738
Nursing assistants,10.427732352464854
Occupational health and safety specialists and technicians,11.070490796987043
Occupational therapists,11.140255204661058
Occupational therapy assistants and aides,10.56892168128321
"Office clerks, general",10.491202792055448
"Office machine operators, except computer",10.409133180673399
Operations research analysts,11.322220640035715
"Opticians, dispensing",10.656586053805825
Optometrists,11.404998345484803
Orderlies and psychiatric aides,10.482455872298864
Other agricultural workers,10.158339105113962
Other assemblers and fabricators,10.370577916187125
Other community and social service specialists,10.788359129504025
Other construction and related workers,10.510201993226822
Other designers,11.215533331283444
Other drafters,11.007496798503386
Other educational instruction and library workers,10.869023352797264
"Other electrical and electronic equipment mechanics, installers, and repairers",10.772195484883255
"Other engineering technologists and technicians, except drafters",10.96540267369106
Other engineers,11.567186025462107
Other entertainment attendants and related workers,10.335189830917992
Other extraction workers,10.779172621316057
Other financial clerks,11.14209309396051
Other financial specialists,11.416271671206644
Other grounds maintenance workers,10.404866195328772
Other healthcare practitioners and technical occupations,11.020613720311985
Other healthcare support workers,10.530453863443565
Other information and records clerks,10.65969124755255
"Other installation, maintenance, and repair workers",10.67931509073496
Other life scientists,11.291804696302734
"Other life, physical, and social science technicians",10.767359825697989
"Other machine tool setters, operators, and tenders, metal and plastic",10.59740879824157
Other managers,11.511768817553687
