Category,Target Encode Value
1 year of college,10.626962263159076
2 years of college,10.722879552354234
4 years of college,11.054611730886995
5+ years of college,11.392851575032875
Grade 10,10.358449908428934
Grade 11,10.377988824768659
Grade 12,10.489859516142786
"Grade 5, 6, 7, or 8",10.286887480713057
Grade 9,10.298910386360546
N/A or no schooling,10.381929152588565
Nursery school to grade 4,10.268270506341198
